10846 10846
vd 0.481481 0.518519
ve 0.476578 0.523422
vf 1.000000 0.000000
vg 0.538462 0.461538
iq 0.433333 0.566667
ip 0.597403 0.402597
vj 0.500000 0.500000
ir 0.514670 0.485330
iu 0.824242 0.175758
it 0.390029 0.609971
iw 0.300000 0.700000
iv 0.504950 0.495050
ii 0.367347 0.632653
ih 0.633588 0.366412
vr 0.631579 0.368421
ij 0.384224 0.615776
im 0.652174 0.347826
il 0.409562 0.590438
io 0.785448 0.214552
in 0.402566 0.597434
ia 0.246528 0.753472
vy 0.625000 0.375000
ic 0.530165 0.469835
ib 0.581081 0.418919
ie 0.354946 0.645054
id 0.488189 0.511811
ig 0.516667 0.483333
if 0.592593 0.407407
i- 0.000000 1.000000
jw 0.500000 0.500000
jr 0.583333 0.416667
bd 0.952381 0.047619
be 0.552548 0.447452
bg 0.000000 1.000000
ba 0.565217 0.434783
bb 0.644444 0.355556
bc 0.000000 1.000000
bl 0.372549 0.627451
bn 0.250000 0.750000
bo 0.609756 0.390244
bh 0.416667 0.583333
bi 0.408163 0.591837
bj 0.600000 0.400000
bk 0.222222 0.777778
bt 0.000000 1.000000
bu 0.613445 0.386555
br 0.547101 0.452899
bs 0.750000 0.250000
by 0.571429 0.428571
oo 0.600000 0.400000
on 0.582822 0.417178
om 0.590909 0.409091
ol 0.562044 0.437956
ok 0.505051 0.494949
oj 0.658824 0.341176
oi 0.477064 0.522936
oh 0.716216 0.283784
og 0.716667 0.283333
of 0.564706 0.435294
oe 0.506024 0.493976
od 0.630841 0.369159
oc 0.567164 0.432836
ob 0.634328 0.365672
oa 0.390625 0.609375
oz 0.500000 0.500000
oy 0.644737 0.355263
ox 0.200000 0.800000
ow 0.689655 0.310345
ov 0.538462 0.461538
ou 0.568266 0.431734
ot 0.586047 0.413953
os 0.662544 0.337456
or 0.524096 0.475904
oq 0.500000 0.500000
op 0.482759 0.517241
h- 0.500000 0.500000
u- 0.000000 1.000000
hz 1.000000 0.000000
hy 0.403846 0.596154
hr 0.451613 0.548387
hs 0.625000 0.375000
hp 0.625000 0.375000
hq 0.000000 1.000000
hv 0.666667 0.333333
hw 0.444444 0.555556
ht 0.431373 0.568627
hu 0.680272 0.319728
hj 0.333333 0.666667
hk 0.300000 0.700000
hh 1.000000 0.000000
hi 0.557325 0.442675
hn 0.531250 0.468750
ho 0.690196 0.309804
hl 0.303030 0.696970
hm 0.760000 0.240000
hb 0.555556 0.444444
ha 0.554659 0.445341
hf 1.000000 0.000000
hg 0.666667 0.333333
hd 0.714286 0.285714
he 0.493878 0.506122
uy 0.589744 0.410256
ux 0.555556 0.444444
uz 0.373134 0.626866
uu 0.585366 0.414634
ut 0.623188 0.376812
uw 0.470588 0.529412
uv 0.619048 0.380952
uq 0.750000 0.250000
up 0.607143 0.392857
us 0.743346 0.256654
ur 0.586995 0.413005
um 0.479592 0.520408
ul 0.475294 0.524706
uo 0.950000 0.050000
un 0.517588 0.482412
ui 0.495726 0.504274
uh 0.724490 0.275510
uk 0.502703 0.497297
uj 0.666667 0.333333
ue 0.346939 0.653061
ud 0.437276 0.562724
ug 0.607143 0.392857
uf 0.672727 0.327273
ua 0.739130 0.260870
uc 0.500000 0.500000
ub 0.533981 0.466019
aa 0.613497 0.386503
ac 0.572000 0.428000
ab 0.484375 0.515625
ae 0.500000 0.500000
ad 0.577211 0.422789
ag 0.477099 0.522901
af 0.507353 0.492647
ai 0.555556 0.444444
ah 0.514212 0.485788
ak 0.680672 0.319328
aj 0.658683 0.341317
am 0.621067 0.378933
al 0.511734 0.488266
ao 0.711864 0.288136
an 0.488485 0.511515
aq 0.592593 0.407407
ap 0.658228 0.341772
as 0.695522 0.304478
ar 0.564216 0.435784
au 0.480337 0.519663
at 0.511288 0.488712
aw 0.711538 0.288462
av 0.609626 0.390374
ay 0.525526 0.474474
ax 0.542857 0.457143
az 0.540773 0.459227
nh 0.443038 0.556962
ni 0.386905 0.613095
nj 0.415842 0.584158
nk 0.309804 0.690196
nl 0.576923 0.423077
nm 0.500000 0.500000
nn 0.308802 0.691198
no 0.782209 0.217791
na 0.226087 0.773913
nb 0.631579 0.368421
nc 0.526829 0.473171
nd 0.512853 0.487147
